Give number of divisions for the quarter cylinder in r and theta directions:
A Cylinder Model wi     72  Elements
Plane strain
        72           91               ! Numbers of elements ane nodes
       1.e0       0.3e0               ! Young's modulus, Poisson's raio
# Nodes:
        1    0.100000000000000e+01    0.000000000000000e+00
        2    0.991444861373810e+00    0.130526192220052e+00
        3    0.965925826289068e+00    0.258819045102521e+00
        4    0.923879532511287e+00    0.382683432365090e+00
        5    0.866025403784439e+00    0.500000000000000e+00
        6    0.793353340291235e+00    0.608761429008721e+00
        7    0.707106781186548e+00    0.707106781186547e+00
        8    0.608761429008721e+00    0.793353340291235e+00
        9    0.500000000000000e+00    0.866025403784439e+00
       10    0.382683432365090e+00    0.923879532511287e+00
       11    0.258819045102521e+00    0.965925826289068e+00
       12    0.130526192220052e+00    0.991444861373810e+00
       13    0.000000000000000e+00    0.100000000000000e+01
       14    0.116666666666667e+01    0.000000000000000e+00
       15    0.115668567160278e+01    0.152280557590060e+00
       16    0.112691346400391e+01    0.301955552619608e+00
       17    0.107785945459650e+01    0.446464004425938e+00
       18    0.101036297108185e+01    0.583333333333333e+00
       19    0.925578897006441e+00    0.710221667176841e+00
       20    0.824957911384306e+00    0.824957911384305e+00
       21    0.710221667176841e+00    0.925578897006441e+00
       22    0.583333333333333e+00    0.101036297108185e+01
       23    0.446464004425938e+00    0.107785945459650e+01
       24    0.301955552619608e+00    0.112691346400391e+01
       25    0.152280557590060e+00    0.115668567160278e+01
       26    0.000000000000000e+00    0.116666666666667e+01
       27    0.133333333333333e+01    0.000000000000000e+00
       28    0.132192648183175e+01    0.174034922960069e+00
       29    0.128790110171876e+01    0.345092060136694e+00
       30    0.123183937668172e+01    0.510244576486786e+00
       31    0.115470053837925e+01    0.666666666666667e+00
       32    0.105780445372165e+01    0.811681905344961e+00
       33    0.942809041582064e+00    0.942809041582063e+00
       34    0.811681905344961e+00    0.105780445372165e+01
       35    0.666666666666667e+00    0.115470053837925e+01
       36    0.510244576486786e+00    0.123183937668172e+01
       37    0.345092060136694e+00    0.128790110171876e+01
       38    0.174034922960069e+00    0.132192648183175e+01
       39    0.000000000000000e+00    0.133333333333333e+01
       40    0.150000000000000e+01    0.000000000000000e+00
       41    0.148716729206072e+01    0.195789288330077e+00
       42    0.144888873943360e+01    0.388228567653781e+00
       43    0.138581929876693e+01    0.574025148547635e+00
       44    0.129903810567666e+01    0.750000000000000e+00
       45    0.119003001043685e+01    0.913142143513081e+00
       46    0.106066017177982e+01    0.106066017177982e+01
       47    0.913142143513081e+00    0.119003001043685e+01
       48    0.750000000000000e+00    0.129903810567666e+01
       49    0.574025148547635e+00    0.138581929876693e+01
       50    0.388228567653781e+00    0.144888873943360e+01
       51    0.195789288330077e+00    0.148716729206072e+01
       52    0.000000000000000e+00    0.150000000000000e+01
       53    0.166666666666667e+01    0.000000000000000e+00
       54    0.165240810228968e+01    0.217543653700086e+00
       55    0.160987637714845e+01    0.431365075170868e+00
       56    0.153979922085214e+01    0.637805720608483e+00
       57    0.144337567297406e+01    0.833333333333333e+00
       58    0.132225556715206e+01    0.101460238168120e+01
       59    0.117851130197758e+01    0.117851130197758e+01
       60    0.101460238168120e+01    0.132225556715206e+01
       61    0.833333333333333e+00    0.144337567297406e+01
       62    0.637805720608483e+00    0.153979922085214e+01
       63    0.431365075170868e+00    0.160987637714845e+01
       64    0.217543653700086e+00    0.165240810228968e+01
       65    0.000000000000000e+00    0.166666666666667e+01
       66    0.183333333333333e+01    0.000000000000000e+00
       67    0.181764891251865e+01    0.239298019070095e+00
       68    0.177086401486329e+01    0.474501582687955e+00
       69    0.169377914293736e+01    0.701586292669331e+00
       70    0.158771324027147e+01    0.916666666666667e+00
       71    0.145448112386726e+01    0.111606261984932e+01
       72    0.129636243217534e+01    0.129636243217534e+01
       73    0.111606261984932e+01    0.145448112386726e+01
       74    0.916666666666667e+00    0.158771324027147e+01
       75    0.701586292669331e+00    0.169377914293736e+01
       76    0.474501582687955e+00    0.177086401486329e+01
       77    0.239298019070095e+00    0.181764891251865e+01
       78    0.000000000000000e+00    0.183333333333333e+01
       79    0.200000000000000e+01    0.000000000000000e+00
       80    0.198288972274762e+01    0.261052384440103e+00
       81    0.193185165257814e+01    0.517638090205042e+00
       82    0.184775906502257e+01    0.765366864730180e+00
