A Plate with Applied Pressure Loads                  26-FEB-15
Plane stress
      16        25                     ! No. of Elements, No. of Nodes
      1.0       0.3 		       ! Young's Modulus, Poisson's Ratio
# Nodes:
       1   	    0.e0   0.e0
       2   	    0.25e0 0.e0
       3   	    0.5e0  0.e0
       4   	    0.75e0 0.e0
       5   	    1.e0   0.e0
       6    	0.e0   0.25e0
       7   	    0.25e0 0.25e0
       8   	    0.5e0  0.25e0
       9   	    0.75e0 0.25e0
       10       1.e0   0.250e0
       11       0.e0   0.5e0
       12       0.25e0 0.5e0
       13       0.5e0  0.5e0
       14       0.75e0 0.5e0
       15       1.e0   0.5e0
       16       0.e0   0.75e0
       17       0.25e0 0.75e0
       18       0.5e0  0.75e0
       19       0.75e0 0.75e0
       20       1.e0   0.75e0
       21       0.e0   1.e0
       22       0.25e0 1.e0
       23       0.5e0  1.e0
       24       0.75e0 1.e0
       25       1.e0   1.e0
# Element Connectivity:
       1         1	   2	 7     6
       2         2     3     8     7
       3         3     4     9     8
       4         4     5    10     9
       5         6     7    12    11
       6         7     8    13    12
       7         8     9    14    13
       8         9    10    15    14
       9         11    12    17    16
       10        12    13    18    17
       11        13    14    19    18
       12        14    15    20    19
       13        16    17    22    21
       14        17    18    23    22
       15        18    19    24    23
       16        19    20    25    24
# Boundary conditions:
       1   	    1    0.e0	  1    0.e0
       2   	    2    0.e0     2    0.e0
       3   	    2    0.e0	  2    0.e0
       4   	    2    0.e0	  2    0.e0
       5   	    2    0.125e0  2    0.e0
       6   	    1    0.e0	  2    0.e0
       7   	    2    0.e0	  2    0.e0
       8   	    2    0.e0	  2    0.e0
       9   	    2    0.e0	  2    0.e0
       10       2    0.25e0	  2    0.e0
       11       1    0.e0	  2    0.e0
       12       2    0.e0	  2    0.e0
       13       2    0.e0	  2    0.e0
       14       2    0.e0	  2    0.e0
       15       2    0.25e0	  2    0.e0
       16       1    0.e0	  2    0.e0
       17       2    0.e0	  2    0.e0
       18       2    0.e0	  2    0.e0
       19       2    0.e0	  2    0.e0
       20       2    0.25e0	  2    0.e0
       21       1    0.e0	  2    0.e0
       22       2    0.e0	  2    0.e0
       23       2    0.e0	  2    0.e0
       24       2    0.e0	  2    0.e0
       25       2    0.125e0  2    0.e0
# End of file
